group,cooling_time_min,tensile_strength_psi
short,73.0019714013835,72802.57277950554
short,73.3857928379879,73165.08183295006
short,69.27990111368604,72404.40928257686
short,72.92901478864401,73925.53639641446
short,73.17228989319473,73515.02652606516
short,69.14259432789453,71831.28001673802
short,79.46309804457903,76381.16560900894
short,73.89533168364716,73328.89796319758
short,67.2347860111894,71155.67906424824
short,74.62621443453531,73897.80090671529
short,68.10127331909071,71020.38878544982
short,75.14833841496981,75112.64309424945
short,76.63438231602962,75344.61116015595
short,68.71727072659316,72170.4167417324
short,75.85350451697728,75500.11248691846
short,73.651123707746,73729.3818880853
short,75.28824063997796,74824.43554823067
short,79.5871719306158,75134.92113701299
short,71.01844753598851,72892.62936851183
short,68.98505534257004,71553.26043107478
short,68.4419422814979,71453.3159093004
short,68.73675886013825,72005.8332005543
short,71.69159316234358,72274.46585993483
short,73.36460789926657,75279.11281745923
short,73.10676319732008,72701.65276605054
short,75.3087329961441,73314.10125755375
short,72.05200756751162,74008.29130534876
short,77.81413630862927,75628.20468956482
short,70.94137266704817,73097.86199635087
short,82.88067666635848,76356.72373651441
short,74.50266939106002,74007.37341475344
short,68.57136977433487,70725.83922966682
short,67.71643000775555,71046.30967163545
short,73.92988966097275,73272.95717684593
short,71.1061488586966,73452.69375944464
short,74.85600197636836,74019.5237155377
short,73.89295049829418,73140.89252801467
short,71.7086843493725,72679.26578128955
short,68.61282512772638,71795.63741283515
short,65.94061110125654,69513.33411289133
short,70.21394019173192,71604.2284194936
short,75.42559517729389,74517.67920887646
short,72.85637497652081,73604.65007551956
short,67.01704488515205,70189.15668631812
short,72.69272370340472,72966.91531899644
short,73.54126951891534,73857.3404718815
short,68.46457025519547,70229.1630817775
short,72.61490042378212,72186.61562051973
short,72.232834873784,72582.22208881058
short,67.42811880867751,70655.52071386155
short,73.43114944139313,73879.08598700953
short,74.24313810547294,75106.9279494549
short,76.3322049727011,75284.13378821363
short,76.21520820813961,74435.9169198784
short,66.48932252817164,70274.78900253218
short,68.24869984033951,70471.34664791431
